Export der Kurvenform vom 13.04.2015 09:08:17:
----------------------------------------------
 U1= 232,2V ; U2= 231,2V ; U3= 234,2V ;
 I1= 351,4A ; I2= 345,0A ; I3= 281,8A ;
----------------------------------------------
  U1 ;  U2 ;  U3 ;  I1 ;  I2 ;  I3 ;
  76 ;  68 ; 227 ; 113 ; 123 ; 149 ;
  81 ;  64 ; 226 ; 115 ; 121 ; 149 ;
  86 ;  62 ; 226 ; 116 ; 118 ; 149 ;
  90 ;  58 ; 225 ; 118 ; 115 ; 149 ;
  96 ;  53 ; 225 ; 120 ; 112 ; 149 ;
 102 ;  48 ; 224 ; 121 ; 110 ; 149 ;
 107 ;  43 ; 223 ; 121 ; 108 ; 148 ;
 112 ;  39 ; 221 ; 121 ; 107 ; 148 ;
 116 ;  37 ; 219 ; 122 ; 106 ; 148 ;
 120 ;  35 ; 217 ; 124 ; 104 ; 149 ;
 124 ;  32 ; 214 ; 125 ; 103 ; 149 ;
 130 ;  30 ; 212 ; 127 ; 101 ; 150 ;
 135 ;  27 ; 209 ; 128 ; 100 ; 149 ;
 140 ;  25 ; 207 ; 129 ;  99 ; 149 ;
 145 ;  23 ; 204 ; 130 ;  99 ; 148 ;
